busywork;0;0;2
charity;0.1;0.05;2
cooking;0.4;0.2;3
diy;0;0;1
education;0.1;0.05;2
music;1;1;1
recreational;0.3;0.15;2
relaxation;0;0;2
social;0.05;0.05;2
